id	gruppenr	udtryk	lemma	lemklas	kernevb	frame	komm
32929	1373	0-1-nederlag	0-1-nederlag	sb.	NULL	Finish_competition	NULL
32547	1373	1-0-føring	1-0-føring	sb.	NULL	Competition	NULL
32930	1373	1-0-sejr	1-0-sejr	sb.	NULL	Finish_competition	NULL
14326	713	abandonnere	abandonnere	vb.	abandonnere	Forgoing	NULL
16012	713	abandonnere	abandonnere	vb.	abandonnere	Renunciation	NULL
31164	1324	abdicere	abdicere	vb.	abdicere	Quitting	NULL
39806	1510	abdicere	abdicere	vb.	abdicere	Quitting	NULL
39807	1510	abdicere	abdicere	vb.	abdicere	Quitting	NULL
31165	1324	abdikation	abdikation	sb.	NULL	Quitting	NULL
39808	1510	abdikation	abdikation	sb.	NULL	Quitting	NULL
37551	314	abe efter	efter	adv.	abe	Imitating	NULL
37552	319	abe efter	efter	adv.	abe	Imitating	NULL
27992	1190	abonnementskoncert	abonnementskoncert	sb.	NULL	Performing_arts	NULL
38651	1559	abonnere	abonnere	vb.	abonnere	Commerce_buy	NULL
36099	1627	abortlovgivning	abortlovgivning	sb.	NULL	Law	NULL
8763	641	absentere sig	absentere	vb.	absentere	Departing	NULL
11411	741	absolvere	absolvere	vb.	absolvere	Activity_finish	NULL
36598	1647	absolvere	absolvere	vb.	absolvere	Religious_belief	NULL
21675	957	absorbere	absorbere	vb.	absorbere	Becoming_aware	NULL
27362	1159	absorbere	absorbere	vb.	absorbere	Becoming_attached	NULL
22093	944	abstrahere	abstrahere	vb.	abstrahere	Cogitation	NULL
12640	766	abstrahere fra	abstrahere	vb.	abstrahere	Attention	NULL
17480	899	abstrahere fra	abstrahere	vb.	abstrahere	Attention	NULL
22094	947	abstrahere fra	abstrahere	vb.	abstrahere	Cogitation	NULL
21512	1020	abstrahere fra	abstrahere	vb.	abstrahere	Attention	NULL
4062	193	accelerere	accelerere	vb.	accelerere	Change_position_on_a_scale	NULL
3716	239	accelerere	accelerere	vb.	accelerere	Cause_change_of_position_on_a_scale	NULL
9748	590	accelerere	accelerere	vb.	accelerere	Operate_vehicle	NULL
